min_values,max_values
-0.1259843,1.053937
-0.1259843,0.9888454
-0.1259843,1.784648
-0.1259843,2.018172
-0.1259843,1.218879
-0.1259843,1.398206
-0.1259843,1.309696
-0.1259843,1.659956
-0.1259843,1.25126
-0.1259843,1.093915
-0.1259843,1.237679
-0.1259843,1.607615
-0.1259843,1.157195
-0.1259843,1.606216
-0.1259843,1.448137
-0.1259843,1.095965
-0.1259843,1.108259
-0.1259843,1.164739
-0.1259843,1.321516
-0.1259843,1.304248
-0.1259843,1.738425
-0.1259843,1.160376
-0.1259843,1.491026
-0.1259843,1.083239
-0.1259843,1.685589
-0.1259843,1.266835
-0.1259843,1.296983
-0.1259843,1.498238
-0.1259843,1.322648
-0.1259843,1.327113
-0.1259843,1.471617
-0.1259843,1.200646
-0.1259843,1.381881
-0.1259843,1.311272
-0.1259843,1.274258
-0.1259843,1.184467
-0.1259843,1.174193
-0.1259843,1.14459
-0.1259843,1.112368
-0.1259843,1.088301
-0.1259843,1.284965
-0.1259843,1.217612
-0.1259843,1.302056
-0.1259843,1.175809
-0.1259843,1.016472
-0.1259843,1.032514
-0.1259843,1.500363
-0.1259843,1.102272
-0.1259843,1.175167
-0.1259843,1.238318
-0.1259843,1.151871
-0.1259843,1.166108
-0.1259843,1.534677
-0.1259843,1.649979
-0.1259843,1.139279
-0.1259843,1.086511
-0.1259843,1.26843
-0.1259843,0.96076
-0.1259843,0.9684393
-0.1259843,0.9460618
-0.1259843,0.947655
-0.1259843,1.304172
-0.1259843,1.425576
-0.1259843,1.383844
-0.1259843,1.183015
-0.1259843,1.209241
-0.1259843,1.121873
-0.1259843,1.633371
-0.1259843,1.354344
-0.1259843,1.792175
-0.1259843,1.357763
-0.1259843,1.537862
-0.1259843,1.415779
-0.1259843,1.301274
-0.1259843,1.26137
-0.1259843,1.32123
-0.1259843,1.506993
-0.1259843,1.200667
-0.1259843,1.147281
-0.1259843,1.189692
-0.1259843,1.96538
-1.533557,0.150763
-0.1259843,1.299018
-0.1259843,1.207242
-0.1259843,1.128532
-0.1259843,1.101364
-0.1259843,1.305895
-0.1259843,1.245816
-0.1259843,1.401958
-0.1259843,1.854453
-0.1259843,1.160587
-0.1259843,1.160518
-0.1259843,1.130159
-0.1259843,1.044276
-0.1259843,1.228913
-0.1259843,1.157124
-0.1259843,1.216927
-0.1259843,1.155026
-0.1259843,1.452157
-0.1259843,1.168129
-0.1259843,0.9943562
-0.1259843,1.239153
-0.1259843,1.110461
-0.1259843,1.145888
-0.1259843,0.9567541
-0.1259843,1.200351
-0.1259843,1.115579
-0.1259843,1.003296
-0.1259843,1.527596
-0.1259843,1.055433
-0.1259843,1.237954
-0.1259843,1.210658
-0.1259843,0.9474173
-0.1259843,1.14281
-0.1259843,1.485315
-0.1259843,1.689395
-0.1259843,1.024071
-0.1259843,1.787035
-0.1259843,1.064055
-0.1259843,1.854117
-0.1259843,1.287541
-0.1259843,1.090247
-0.1259843,0.9524664
-0.1259843,1.028852
-0.1259843,1.381914
-0.1259843,0.8892293
-0.1259843,0.8963783
-0.1259843,0.9210836
-0.1259843,1.058497
-0.1259843,1.023524
-0.1259843,1.499282
-0.1259843,1.523563
-0.1259843,1.192416
-0.1259843,1.577744
-0.1259843,1.043499
-0.1259843,1.576362
-1.432298,0.178515
-0.1259843,1.285482
-0.1259843,1.389489
-0.1259843,1.094315
-0.1259843,1.101946
-0.1259843,0.9612386
-0.1259843,0.8584209
-0.1259843,1.093115
-0.1259843,1.398153
-0.1259843,0.9316295
-0.1259843,1.416208
-0.1259843,1.357299
-0.1259843,1.211903
-0.1259843,1.475975
-0.1259843,1.19289
-0.1259843,1.263012
-0.1259843,1.167775
-0.1259843,1.095394
-0.1259843,1.143027
-0.1259843,1.315665
-0.1259843,1.47017
-0.1259843,1.780645
-0.1259843,1.110698
-0.1259843,1.250314
-0.1259843,1.189058
-0.1259843,1.338599
-0.1259843,1.467852
-0.1259843,1.287646
-0.1259843,1.465296
-0.1259843,1.294281
-0.1259843,1.049886
-0.1259843,1.241578
-0.1259843,0.9750119
-0.1259843,1.355852
-0.1259843,1.048
-0.1259843,1.238591
-0.1259843,2.00517
-0.1259843,1.186232
-0.1259843,1.261088
-0.1259843,1.398296
-0.1259843,1.574146
-0.1259843,1.249477
-0.1259843,1.985887
-0.1259843,1.481604
-0.1259843,1.711268
-0.1259843,1.460581
-0.1259843,1.220707
-0.1259843,1.392042
-0.1259843,1.308779
-0.1259843,1.244966
-0.1259843,1.111369
-0.1259843,1.278074
-0.1259843,1.688044
-0.1259843,1.270488
-0.1259843,1.906423
-0.1259843,1.846228
-0.1259843,1.917465
-0.1259843,1.673118
-0.1259843,1.700232
-2.022336,0.655799
-0.1259843,1.001236
-0.1259843,1.794607
-0.1259843,1.585079
-0.1259843,1.366892
-0.1259843,1.425307
-0.1259843,1.322774
-0.1259843,1.26914
-0.1259843,1.301392
-0.1259843,1.365945
-0.1259843,1.122914
-0.1259843,1.425943
-0.1259843,1.027055
-0.1259843,1.403925
-0.1259843,1.534134
-0.1259843,1.33531
-0.1259843,1.217422
-0.1259843,1.751576
-0.1259843,1.454281
-0.1259843,1.162244
-0.1259843,1.680109
-0.1259843,1.117082
-1.436398,0.208268
-0.1259843,1.163697
-0.1259843,1.307764
-0.1259843,1.5804
-0.1259843,1.127473
-0.1259843,1.613769
-0.1259843,1.343443
-0.1259843,1.426467
-0.1259843,1.980127
-0.1259843,1.230592
-0.1259843,1.72726
-0.1259843,1.058464
-0.1259843,1.103453
-0.1259843,1.042825
-0.1259843,1.302298
-0.1259843,1.35143
-0.1259843,1.284994
-0.1259843,1.38228
-0.1259843,1.004884
-0.1259843,1.490998
-0.1259843,1.574143
-0.1259843,0.9416159
-0.1259843,1.404275
-0.1259843,1.593571
-0.1259843,1.381218
-0.1259843,0.9538611
-0.1259843,1.300091
-0.1259843,0.9528322
-0.1259843,1.302986
-0.1259843,0.9884086
-0.1259843,1.07383
-0.1259843,1.979131
-0.1259843,1.490188
-1.083604,0.251631
-0.1259843,1.077915
-0.1259843,2.059113
-1.259248,0.276043
-0.1259843,1.342854
-0.1259843,1.118393
-0.1259843,1.030586
-0.1259843,1.121055
-0.1259843,1.02824
-0.1259843,1.043348
-0.1259843,1.172382
-0.1259843,1.178156
-0.1259843,1.537688
-0.1259843,1.61963
-0.1259843,1.667029
-0.1259843,1.301004
-0.1259843,1.0839
-0.1259843,1.31178
-0.1259843,1.40486
-0.1259843,1.679296
-0.1259843,1.689943
-0.1259843,1.849041
-0.1259843,2.003835
-0.1259843,1.308096
-0.1259843,1.179522
-0.1259843,1.499995
-0.1259843,1.629259
-0.1259843,1.125794
-0.1259843,1.555499
-0.1259843,0.9396964
-0.1259843,1.854344
-0.1259843,1.691357
-0.1259843,0.9822298
-0.1259843,0.9549869
-0.1259843,1.034375
-0.1259843,1.316443
-0.1259843,1.633988
-0.1259843,1.641716
-0.1259843,1.063834
-0.1259843,1.73875
-0.1259843,1.011032
-0.1259843,1.235952
-0.1259843,1.407974
-0.1259843,1.269622
-0.1259843,1.57081
-0.1259843,1.492924
-0.1259843,1.98926
-0.1259843,1.246037
-0.1259843,2.023554
-0.1259843,1.475006
-0.1259843,1.091776
